n,S,comparisons,cpu_time_seconds
1000,1,8711,0.0020394580205902457
1000,2,8711,0.0018056659027934074
1000,4,8738,0.0015669999411329627
1000,6,8738,0.0015649580163881183
1000,8,9073,0.0014435829361900687
1000,10,9073,0.0014475838979706168
1000,12,9073,0.0014430830487981439
1000,16,10277,0.0014407080598175526
1000,20,10277,0.001450750045478344
1000,24,10277,0.0014449999434873462
1000,32,13382,0.0016654159408062696
1000,48,13382,0.0016617500223219395
1000,64,20093,0.002310332958586514
10000,1,120372,0.026627082959748805
10000,2,120372,0.02451825002208352
10000,4,120386,0.022982291993685067
10000,6,121450,0.021086875000037253
10000,8,121450,0.021109750028699636
10000,10,127101,0.02021716709714383
10000,12,127101,0.020284832920879126
10000,16,127101,0.020170792005956173
10000,20,144264,0.02088020893279463
10000,24,144264,0.020869917003437877
10000,32,144264,0.02090775000397116
10000,48,183972,0.024206832982599735
10000,64,183972,0.024282249971292913
100000,1,1536387,0.3223454999970272
100000,2,1536387,0.308186958078295
100000,4,1536780,0.2866154999937862
100000,6,1554179,0.2737468749983236
100000,8,1557419,0.2663477909518406
100000,10,1557419,0.2662202080246061
100000,12,1618859,0.2655376660404727
100000,16,1638216,0.29187724995426834
100000,20,1638216,0.3125510000390932
100000,24,1763389,0.2696278750663623
100000,32,1862316,0.2759371659485623
100000,48,1948167,0.2815895420499146
100000,64,2379910,0.32985404098872095
1000000,1,18673888,4.159337457967922
1000000,2,18673888,3.689966708072461
1000000,4,18728179,3.568180541973561
1000000,6,18728179,3.4564867080189288
1000000,8,19074428,3.311844125040807
1000000,10,19074428,3.3913901249179617
1000000,12,19074428,3.328512249980122
1000000,16,20225265,3.3211560000199825
1000000,20,20225265,3.3890943750739098
1000000,24,20225265,3.4662667909869924
1000000,32,23193587,3.5435079999733716
1000000,48,23193587,3.529213040950708
1000000,64,29905361,4.132195916026831
10000000,1,220099725,50.453102833009325
10000000,2,220099725,49.35537887492683
10000000,4,220222223,47.4024254999822
10000000,6,221108960,48.01466470898595
10000000,8,221108960,47.09672195801977
10000000,10,226417560,46.9776797919767
10000000,12,226417560,45.577579832985066
10000000,16,226417560,46.87153933290392
10000000,20,242307872,45.182817417080514
10000000,24,242307872,45.09865745797288
10000000,32,242307872,47.65547058300581
10000000,48,281250362,49.61776583397295
10000000,64,281250362,49.78768383304123
